,sample_number,sample_id,latitude,longitude
count,6.0,6.0,6.0,6.0
mean,30.0,529.0,27.686993500000003,-82.61047566666666
std,9.899494936611665,9.899494936611665,0.09473967916084658,0.010379586844700299
min,20.0,519.0,27.593140000000002,-82.618861
25%,21.25,520.25,27.60166925,-82.61690575
50%,30.0,529.0,27.68908,-82.614949
75%,38.75,537.75,27.773114250000003,-82.60727349999999
max,40.0,539.0,27.777003000000004,-82.591822
